Honest, stout, love Mosquito
Clever, slim, love Fly
Confident, slim, love Papakeet
Clever, fat, love Frog
Sociable, overweight, love Cockatoo
Aggressive, slim, love Ostrich
Kind, fit, love Chihuahua
Wise, stout, love Hare
intelligent, slim, love Louse
Enthusiastic, average built, love Lion
Unkind, obese, love Horseshoe crab
Rational, slender, love Locust
Quiet, slim, love Cricket
Confident, plump, love Hare
Dependable, overweight, love Cicada
Introverted, muscular, love Insect
Reckless, well-proportioned figure, love Lemur
Wise, overweight, love Grasshopper
Kind, skinny, love Ass
Gruff, well-proportioned figure, love Lion
Dependable, plump, love Beetle
Kind, average built, love Armadillo
Talented, muscular, love Mussel
Creative, well-built, love Armadillo
Cautious, slim, love Jellyfish
Out going, obese, love Orangutan
Haughty, plump, love Eel
Hot-temper, plump, love Goat
Observant, stocky, love Buck
Wise, fit, love Grasshopper
Unkind, well-built, love Donkey
Cold, well-built, love Bumble-bee
Cheerful, well-proportioned figure, love Duck
Competitive, fat, love Llama
Unkind, frail, love Mantis
Cheerful, stocky, love Chamois
Talented, obese, love Cricket
Understantding, average built, love Dove, pigeon
Aggressive, overweight, love Crocodile
Generous, fat, love Grasshopper
Out going, muscular, love Lady bird
Observant, well-proportioned figure, love Leopard
Easy going, overweight, love Buck
Stubborn, slim, love Foal
Easy going, fat, love Peacock
Cold, overweight, love Gerbil
Patient, overweight, love Aligator
Optimistic, frail, love Cobra
Crazy, fit, love Aligator
Hot-temper, slender, love Papakeet
Impolite, muscular, love Leopard
Haughty, slender, love Locust
Cheerful, obese, love Dalmatian
Funny, frail, love Lopster
Careful, well-proportioned figure, love Octopus
Mean, average built, love Bunny
Wise, obese, love Gibbon
Cruel, skinny, love Fiddler crab
Gruff, plump, love Flea
Insolent, stout, love Gannet
Exciting, slender, love Peacock
Patient, stout, love HummingBird
Cruel, fat, love Octopus
Rational, slim, love Chimpanzee
Selfish, slim, love Centipede
Bad-tempered, plump, love Gecko
Insolent, fat, love Lady bird
Kind, fit, love Canary
Impolite, average built, love Bumble-bee
Selfish, well-proportioned figure, love Giraffe
Open-minded, slim, love Chameleon
Funny, slim, love Gecko
Understantding, fat, love Beaver
Gentle, overweight, love Baboon
Quiet, muscular, love Gannet
Out going, obese, love Falcon
Bad-tempered, stout, love Hippopotamus
Hardworking, slender, love Dromedary
Funny, skinny, love Gecko
Unkind, muscular, love Peacock
Haughty, fit, love Fawn
Introverted, stout, love Camel
Haughty, well-built, love Goat
Soft, frail, love Butter-fly
Exciting, slim, love Locust
Soft, slender, love Orangutan
Funny, frail, love HummingBird
Shy, average built, love Mosquito
Insolent, stocky, love Gibbon
Patient, well-proportioned figure, love Cicada
Serious, frail, love Baboon
Bad-tempered, slim, love Locust
Creative, skinny, love Locust
Serious, fat, love Eagle
Easy going, skinny, love Papakeet
Talented, overweight, love Parrot
Cruel, well-built, love Dove, pigeon
Aggressive, stout, love Fox
Crazy, slender, love Iguana
Cheerful, average built, love Gopher
Hardworking, well-built, love Lemur
Sincere, fit, love Hippopotamus
Faithful, well-proportioned figure, love Parrot
Cold, slender, love Lion
Hardworking, stocky, love Pangolin
Extroverted, obese, love Llama
Unkind, well-built, love Hare
Hot-temper, obese, love Dalmatian
Cold, overweight, love Carp
Tacful, fat, love Hedgehog
Mean, well-built, love Owl
Imaginative, fit, love Dragon- fly
Cheerful, well-built, love Falcon
Funny, slim, love Peacock
Careful, plump, love Baboon
Selfish, overweight, love Orangutan
Smart, slender, love Dalmatian
Ambitious, muscular, love Boar
Dependable, slender, love Hedgehog
Enthusiastic, well-built, love Gannet
Serious, stocky, love Mosquito
Cruel, average built, love Horseshoe crab
Pessimistic, obese, love Falcon
Optimistic, obese, love Fox
Impolite, average built, love Fawn
Talented, plump, love Chipmunk
Confident, well-proportioned figure, love Beaver
Crazy, frail, love Goat
